"","state","district","candidate","gender","total_votes","vote_share","winner_party","winner_gender","pres_winner","flip","year","party"
"175","MI",11,"Haley Stevens","female",181912,0.518414025608362,"Democrat","female","Trump",TRUE,2018,"Democrat"
"176","MI",12,"Debbie Dingell","female",200588,0.680817844875572,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"177","MI",13,"Rashida Tlaib","female",165355,0.842362925944605,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"178","MI",14,"Brenda Lawrence","female",214334,0.808825860208156,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"179","MI",2,"Rob Davidson","male",131254,0.429688702068663,"Republican","male","Trump",FALSE,2018,"Democrat"
"180","MI",3,"Cathy Albro","female",134185,0.431824032953595,"Republican","male","Trump",FALSE,2018,"Democrat"
"181","MI",4,"Jerry Hilliard","male",106540,0.373758989650938,"Republican","male","Trump",FALSE,2018,"Democrat"
"182","MI",5,"Daniel T. Kildee","male",164502,0.595131198604986,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"183","MI",6,"Matt Longjohn","male",134082,0.456934684669334,"Republican","male","Trump",FALSE,2018,"Democrat"
"184","MI",7,"Gretchen Driskell","female",136330,0.462041618653833,"Republican","male","Trump",FALSE,2018,"Democrat"
"185","MI",8,"Elissa Slotkin","female",172880,0.506099363862843,"Democrat","female","Trump",TRUE,2018,"Democrat"
"186","MI",9,"Andy Levin","male",181734,0.596704130179963,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"187","MN",1,"No candidate","N/A",0,NA,"Republican","male","Trump",FALSE,2018,"Democrat"
"188","MN",2,"No candidate","N/A",0,NA,"Republican","male","Trump",FALSE,2018,"Democrat"
"189","MN",3,"No candidate","N/A",0,NA,"Republican","male","Clinton",FALSE,2018,"Democrat"
"190","MN",4,"No candidate","N/A",0,NA,"Republican","male","Clinton",FALSE,2018,"Democrat"
"191","MN",5,"No candidate","N/A",0,NA,"Republican","female","Clinton",FALSE,2018,"Democrat"
"192","MN",6,"No candidate","N/A",0,NA,"Republican","male","Trump",FALSE,2018,"Democrat"
"193","MN",7,"No candidate","N/A",0,NA,"Republican","male","Trump",FALSE,2018,"Democrat"
