CD,Incumbent,Party,Clinton,Trump,Winner,,,
VA-01,"Wittman, Rob",(R),41.2,53.6,Trump,,,
VA-02,"Taylor, Scott",(R),45.4,48.8,Trump,,,
VA-03,"Scott, Bobby",(D),63.6,31.9,Clinton,,,
VA-04,"McEachin, Donald",(D),58.7,37.1,Clinton,,,
VA-05,"Garrett, Tom",(R),42.3,53.4,Trump,,,
VA-06,"Goodlatte, Bob",(R),34.9,59.7,Trump,,,
VA-07,"Brat, Dave",(R),44.0,50.5,Trump,,,
VA-08,"Beyer, Don",(D),73.5,20.9,Clinton,,,
VA-09,"Griffith, Morgan",(R),27.3,68.8,Trump,,,
VA-10,"Comstock, Barbara",(R),52.2,42.2,Clinton,,,
VA-11,"Connolly, Gerry",(D),66.9,27.5,Clinton,,,
